GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr,study_items,p_fdr_fix,cluster_id,cluster_type
GO:0007249,BP,e,I-kappaB kinase/NF-kappaB signaling,"(10, 15)","(55, 3513)",1.0633938033317408e-15,6,10,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0002753,BP,e,cytoplasmic pattern recognition receptor signaling pathway,"(7, 15)","(15, 3513)",3.129170043708993e-14,6,7,0.0,"['RELA', 'TRAF6', 'NFKBIA', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7']",0.001996007984031936,0.0,sensor
GO:0038061,BP,e,NIK/NF-kappaB signaling,"(8, 15)","(28, 3513)",3.3817053212992036e-14,6,8,0.0,"['RELA', 'TRAF6', 'NFKBIA', 'NFKB2', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0043122,BP,e,regulation of I-kappaB kinase/NF-kappaB signaling,"(9, 15)","(49, 3513)",4.348046210921643e-14,7,9,0.0,"['RNF31', 'RELA', 'TRAF6', 'MYD88', 'TNFAIP3', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0019221,BP,e,cytokine-mediated signaling pathway,"(10, 15)","(79, 3513)",5.074903336451119e-14,6,10,0.0,"['RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7', 'TRAF2', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0002221,BP,e,pattern recognition receptor signaling pathway,"(8, 15)","(31, 3513)",8.537298119674975e-14,5,8,0.0,"['RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7']",0.001996007984031936,0.0,sensor
GO:0035872,BP,e,"nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway","(6, 15)","(9, 3513)",1.60669202282573e-13,6,6,0.0,"['RELA', 'NFKBIA', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7']",0.001996007984031936,0.0,sensor
GO:0070423,BP,e,nucleotide-binding oligomerization domain containing signaling pathway,"(6, 15)","(9, 3513)",1.60669202282573e-13,7,6,0.0,"['RELA', 'NFKBIA', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7']",0.001996007984031936,0.0,sensor
GO:0051090,BP,e,regulation of DNA-binding transcription factor activity,"(10, 15)","(91, 3513)",2.228259753271285e-13,10,10,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'CFLAR', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
GO:0031347,BP,e,regulation of defense response,"(10, 15)","(92, 3513)",2.4966875638078907e-13,5,10,0.0,"['RNF31', 'RELA', 'TRAF6', 'NFKBIA', 'MYD88', 'TNFAIP3', 'CYLD', 'BIRC2', 'MAP3K7', 'IL1R1']",0.001996007984031936,0.0,sensor
GO:0043123,BP,e,positive regulation of I-kappaB kinase/NF-kappaB signaling,"(8, 15)","(39, 3513)",6.563636222627999e-13,8,8,0.0,"['RNF31', 'RELA', 'TRAF6', 'MYD88', 'CFLAR', 'BIRC2', 'MAP3K7', 'TRAF2']",0.001996007984031936,0.0,sensor
