GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr,study_items,cluster_id,cluster_type
GO:0010106,BP,e,cellular response to iron ion starvation,"(2, 3)","(6, 5672)",2.796677176718247e-06,7,2,0.0,"['YMR058W', 'YGL071W']",11.0,sensor
GO:0006826,BP,e,iron ion transport,"(2, 3)","(37, 5672)",0.00012371965562875094,7,2,0.014,"['YMR058W', 'YGL071W']",11.0,sensor
GO:0006879,BP,e,cellular iron ion homeostasis,"(2, 3)","(43, 5672)",0.00016762719122013808,10,2,0.018,"['YMR058W', 'YGL071W']",11.0,sensor
GO:0055072,BP,e,iron ion homeostasis,"(2, 3)","(51, 5672)",0.00023645920333355584,9,2,0.02,"['YMR058W', 'YGL071W']",11.0,sensor
GO:0009267,BP,e,cellular response to starvation,"(2, 3)","(58, 5672)",0.00030630862561536516,6,2,0.026,"['YMR058W', 'YGL071W']",11.0,sensor
GO:0000041,BP,e,transition metal ion transport,"(2, 3)","(62, 5672)",0.00035024524323024606,6,2,0.032,"['YMR058W', 'YGL071W']",11.0,sensor
GO:0042594,BP,e,response to starvation,"(2, 3)","(63, 5672)",0.00036168586035051744,5,2,0.032,"['YMR058W', 'YGL071W']",11.0,sensor
GO:0046916,BP,e,cellular transition metal ion homeostasis,"(2, 3)","(70, 5672)",0.0004468751934777556,9,2,0.04,"['YMR058W', 'YGL071W']",11.0,sensor
GO:0034756,BP,e,regulation of iron ion transport,"(1, 3)","(1, 5672)",0.0005289139633310729,6,1,0.044,['YGL071W'],11.0,sensor
GO:0034758,BP,e,positive regulation of iron ion transport,"(1, 3)","(1, 5672)",0.0005289139633310729,7,1,0.044,['YGL071W'],11.0,sensor
GO:0015823,BP,e,phenylalanine transport,"(2, 6)","(3, 5672)",2.796677176716143e-06,8,2,0.004,"['YBR068C', 'YCL025C']",4.0,sensor
GO:0006099,BP,e,tricarboxylic acid cycle,"(2, 3)","(27, 5672)",6.528058411145117e-05,3,2,0.022,"['YOL071W', 'YPL262W']",3.0,sensor
GO:0009060,BP,e,aerobic respiration,"(2, 3)","(69, 5672)",0.0004341587836116447,6,2,0.052,"['YOL071W', 'YPL262W']",3.0,sensor
GO:0005986,BP,e,sucrose biosynthetic process,"(1, 3)","(1, 5672)",0.0005289139633310729,7,1,0.058,['YLR377C'],3.0,sensor
GO:0018293,BP,e,protein-FAD linkage,"(1, 3)","(1, 5672)",0.0005289139633310729,7,1,0.058,['YOL071W'],3.0,sensor
GO:0019318,BP,e,hexose metabolic process,"(2, 2)","(72, 5672)",0.00015892600837760895,5,2,0.012,"['YBR018C', 'YJL089W']",5.0,sensor
GO:0005996,BP,e,monosaccharide metabolic process,"(2, 2)","(83, 5672)",0.00021159045638068053,4,2,0.014,"['YBR018C', 'YJL089W']",5.0,sensor
