gene1,Systematic gene name
aac1,YMR056C
aac3,YBR085W
aad10,YJR155W
aad14,YNL331C
aad15,YOL165C
aad16,YFL057C
aad3,YCR107W
aad4,YDL243C
aad6,YFL056C
aah1,YNL141W
aap1,YHR047C
aar2-5001,YBL074C
aat1,YKL106W
aat2,YLR027C
abd1-5,YBR236C
abd1-8,YBR236C
abf1-102,YKL112W
abf1-102-supp1,YKL112W
abf1-103,YKL112W
abf2,YMR072W
abm1,YJR108W
abp1,YCR088W
abp140,YOR239W
abz1,YNR033W
abz2,YMR289W
aca1,YER045C
acb1,YGR037C
acc1-5007-supp1,YNR016C
acc1-5009-supp1,YNR016C
ace2,YLR131C
acf2,YLR144C
acf4,YJR083C
ach1,YBL015W
ack1,YDL203C
acl4,YDR161W
acl4-supp1,YDR161W
acm1,YPL267W
aco1,YLR304C
acs1,YAL054C
acs2-5002,YLR153C
acs2-5003,YLR153C
act1-101,YFL039C
act1-105,YFL039C
act1-108,YFL039C
act1-111,YFL039C
act1-112,YFL039C
act1-119,YFL039C
act1-120,YFL039C
act1-121,YFL039C
act1-122,YFL039C
act1-124,YFL039C
act1-125,YFL039C
act1-129,YFL039C
act1-132,YFL039C
act1-133,YFL039C
act1-136,YFL039C
act1-155,YFL039C
act1-159,YFL039C
act1-3,YFL039C
act1-4,YFL039C
ada2,YDR448W
add37,YMR184W
add66,YKL206C
ade1,YAR015W
ade12-supp1,YNL220W
ade16,YLR028C
ade17,YMR120C
ade2,YOR128C
ade3,YGR204W
ade4,YMR300C
"ade5,7",YGL234W
ade6,YGR061C
ade8,YDR408C
adf1,YCL058W-A
adh1,YOL086C
adh2,YMR303C
adh3,YMR083W
adh4,YGL256W
adh5,YBR145W
adh6,YMR318C
adh7,YCR105W
adi1,YMR009W
adk1,YDR226W
adk2,YER170W
ado1,YJR105W
adp1,YCR011C
adr1,YDR216W
ady2,YCR010C
ady3,YDL239C
ady4,YLR227C
aep1,YMR064W
aep2,YMR282C
aep3,YPL005W
afb1,YLR040C
afg1,YEL052W
afg2-18,YLR397C
afg3,YER017C
afi1,YOR129C
afr1,YDR085C
aft1,YGL071W
aft2,YPL202C
aga1,YNR044W
aga2,YGL032C
agc1,YPR021C
age1,YDR524C
age2,YIL044C
agp1,YCL025C
agp2,YBR132C
agp3,YFL055W
agx1,YFL030W
aha1,YDR214W
ahc1,YOR023C
ahc2,YCR082W
ahk1,YDL073W
ahp1,YLR109W
aht1,YHR093W
aif1,YNR074C
aim1,YAL046C
aim10,YER087W
aim11,YER093C-A
aim14,YGL160W
aim17,YHL021C
aim18,YHR198C
aim19,YIL087C
aim2,YAL049C
aim20,YIL158W
aim21,YIR003W
aim22,YJL046W
aim23,YJL131C
aim24,YJR080C
aim25,YJR100C
aim26,YKL037W
aim29,YKR074W
aim3,YBR108W
aim32,YML050W
aim33,YML087C
aim34,YMR003W
aim36,YMR157C
aim39,YOL053W
aim4,YBR194W
aim41,YOR215C
aim44,YPL158C
aim45,YPR004C
aim46,YHR199C
aim6,YDL237W
aim7,YDR063W
aim9,YER080W
aip1,YMR092C
air1,YIL079C
air2,YDL175C
akl1,YBR059C
akr1,YDR264C
akr2,YOR034C
ala1-1,YOR335C
alb1,YJL122W
ald2,YMR170C
ald3,YMR169C
ald4,YOR374W
ald5,YER073W
ald6,YPL061W
ale1,YOR175C
alf1,YNL148C
alg1-1,YBR110W
alg11,YNL048W
alg12,YNR030W
alg13-5001,YGL047W
alg14-5001,YBR070C
alg2-1,YGL065C
alg3,YBL082C
alg5,YPL227C
alg6,YOR002W
alg8,YOR067C
alg9,YNL219C
alk1,YGL021W
alk2,YBL009W
alo1,YML086C
alp1,YNL270C
alr2,YFL050C
alt1,YLR089C
alt2,YDR111C
aly1,YKR021W
aly2,YJL084C
ama1,YGR225W
amd1,YML035C
amd2,YDR242W
ame1-4,YBR211C
amf1,YOR378W
amn1,YBR158W
ams1,YGL156W
anb1,YJR047C
anp1,YEL036C
anr2,YKL047W
ans1,YHR126C
ant1,YPR128C
aos1-5001,YPR180W
aos1-5005,YPR180W
aos1-5019,YPR180W
apa1,YCL050C
apa2,YDR530C
apc1-5004,YNL172W
apc11-13,YDL008W
apc2-8,YLR127C
apc4-5001,YDR118W
apc5-ca,YOR249C
apc5-ca-paps,YOR249C
apc9,YLR102C
apd1,YBR151W
ape1,YKL103C
ape2,YKL157W
ape3,YBR286W
ape4,YHR113W
api2,YDR525W
apj1,YNL077W
apl1,YJR005W
apl2,YKL135C
apl3,YBL037W
apl4,YPR029C
apl5,YPL195W
apl6,YGR261C
apm1,YPL259C
apm2,YHL019C
apm3,YBR288C
apm4,YOL062C
apn1,YKL114C
apn2,YBL019W
app1,YNL094W
apq12,YIL040W
aps1,YLR170C
aps2,YJR058C
aps3,YJL024C
apt1,YML022W
apt2,YDR441C
aqr1,YNL065W
aqy1,YPR192W
aqy2,YLL052C
ara1,YBR149W
ara2,YMR041C
arc1,YGL105W
arc15-10,YIL062C
arc18,YLR370C
arc18-supp1,YLR370C
arc35-5,YNR035C
arc35-6,YNR035C
arc40-5001,YBR234C
ard1,YHR013C
are1,YCR048W
